Last Activity Date,Total Call Count,Resource Account
"2026-08-04T00:00:00",44,"aa-mainivr-v2@ahri.com.au"
"2026-08-04T00:00:00",12,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-04T00:00:00",7,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-04T00:00:00",10,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-05T00:00:00",5,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-05T00:00:00",23,"aa-mainivr-v2@ahri.com.au"
"2026-08-05T00:00:00",3,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-05T00:00:00",10,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-06T00:00:00",2,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-06T00:00:00",21,"aa-mainivr-v2@ahri.com.au"
"2026-08-06T00:00:00",5,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-06T00:00:00",5,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-07T00:00:00",12,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-07T00:00:00",26,"aa-mainivr-v2@ahri.com.au"
"2026-08-07T00:00:00",1,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-07T00:00:00",6,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-09T00:00:00",7,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-09T00:00:00",7,"aa-mainivr-v2@ahri.com.au"
"2026-08-10T00:00:00",25,"aa-mainivr-v2@ahri.com.au"
"2026-08-10T00:00:00",7,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-10T00:00:00",6,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-10T00:00:00",2,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-11T00:00:00",4,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-11T00:00:00",23,"aa-mainivr-v2@ahri.com.au"
"2026-08-11T00:00:00",1,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-11T00:00:00",12,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-12T00:00:00",20,"aa-mainivr-v2@ahri.com.au"
"2026-08-12T00:00:00",1,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-12T00:00:00",12,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-12T00:00:00",2,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-13T00:00:00",8,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-13T00:00:00",27,"aa-mainivr-v2@ahri.com.au"
"2026-08-13T00:00:00",5,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-13T00:00:00",3,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-14T00:00:00",30,"aa-mainivr-v2@ahri.com.au"
"2026-08-14T00:00:00",16,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-14T00:00:00",3,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-14T00:00:00",1,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-16T00:00:00",2,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-16T00:00:00",3,"aa-mainivr-v2@ahri.com.au"
"2026-08-16T00:00:00",1,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-17T00:00:00",28,"aa-mainivr-v2@ahri.com.au"
"2026-08-17T00:00:00",12,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-17T00:00:00",1,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-17T00:00:00",8,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-18T00:00:00",9,"aa-membershipenquiries-v2@ahri.com.au"
"2026-08-18T00:00:00",27,"aa-mainivr-v2@ahri.com.au"
"2026-08-18T00:00:00",11,"aa-educationenquiries-v2@ahri.com.au"
"2026-08-18T00:00:00",1,"aa-eventnetwork-v2@ahri.com.au"
"2026-08-19T00:00:00",6,"aa-eventnetwork-v2@ahri.com.au"
