Last Activity Date,Total Call Count,Resource Account
"2026-08-04T00:00:00",11,"cq-reception-v2@ahri.com.au"
"2026-08-04T00:00:00",12,"cq-careersupport-overflow-v2@ahri.com.au"
"2026-08-04T00:00:00",12,"cq-careersupport-v2@ahri.com.au"
"2026-08-04T00:00:00",3,"cq-studentsupport-overflow-v2@ahri.com.au"
"2026-08-04T00:00:00",3,"cq-studentsupport-v2@ahri.com.au"
"2026-08-04T00:00:00",4,"cq-cpdevents-overflow-v2@ahri.com.au"
"2026-08-04T00:00:00",4,"cq-cdpevents-v2@ahri.com.au"
"2026-08-04T00:00:00",3,"cq-reception-overflow-v2@ahri.com.au"
"2026-08-04T00:00:00",1,"cq-corporatesales-overflow-v2@ahri.com.au"
"2026-08-04T00:00:00",1,"cq-corporatesales-v2@ahri.com.au"
"2026-08-04T00:00:00",8,"cq-membership-overflow-v2@ahri.com.au"
"2026-08-04T00:00:00",8,"cq-membership-v2@ahri.com.au"
"2026-08-05T00:00:00",4,"cq-careersupport-overflow-v2@ahri.com.au"
"2026-08-05T00:00:00",6,"cq-careersupport-v2@ahri.com.au"
"2026-08-05T00:00:00",3,"cq-membership-overflow-v2@ahri.com.au"
"2026-08-05T00:00:00",9,"cq-membership-v2@ahri.com.au"
"2026-08-05T00:00:00",1,"cq-reception-overflow-v2@ahri.com.au"
"2026-08-05T00:00:00",2,"cq-reception-v2@ahri.com.au"
"2026-08-05T00:00:00",2,"cq-cpdevents-overflow-v2@ahri.com.au"
"2026-08-05T00:00:00",2,"cq-cdpevents-v2@ahri.com.au"
"2026-08-06T00:00:00",3,"cq-studentsupport-overflow-v2@ahri.com.au"
"2026-08-06T00:00:00",3,"cq-studentsupport-v2@ahri.com.au"
"2026-08-06T00:00:00",6,"cq-reception-v2@ahri.com.au"
"2026-08-06T00:00:00",3,"cq-membership-v2@ahri.com.au"
"2026-08-06T00:00:00",5,"cq-careersupport-overflow-v2@ahri.com.au"
"2026-08-06T00:00:00",5,"cq-careersupport-v2@ahri.com.au"
"2026-08-06T00:00:00",2,"cq-reception-overflow-v2@ahri.com.au"
"2026-08-06T00:00:00",2,"cq-membership-overflow-v2@ahri.com.au"
"2026-08-07T00:00:00",7,"cq-careersupport-overflow-v2@ahri.com.au"
"2026-08-07T00:00:00",7,"cq-careersupport-v2@ahri.com.au"
"2026-08-07T00:00:00",8,"cq-membership-v2@ahri.com.au"
"2026-08-07T00:00:00",3,"cq-reception-overflow-v2@ahri.com.au"
"2026-08-07T00:00:00",5,"cq-reception-v2@ahri.com.au"
"2026-08-07T00:00:00",3,"cq-orgmembers-overflow-v2@ahri.com.au"
"2026-08-07T00:00:00",1,"cq-orgmembers-v2@ahri.com.au"
"2026-08-07T00:00:00",6,"cq-membership-overflow-v2@ahri.com.au"
"2026-08-07T00:00:00",2,"cq-grouptraining-v2@ahri.com.au"
"2026-08-07T00:00:00",1,"cq-corporatesales-overflow-v2@ahri.com.au"
"2026-08-07T00:00:00",1,"cq-corporatesales-v2@ahri.com.au"
